.dmg,Misc
.jad,Misc
.tmp,Misc
.url,Misc
.cue,Misc
.ics,Misc
.img,Misc
.bak,Misc
.part,Misc
.tec,Misc
.kmz,Misc
.torrent,Misc
.hqx,Misc
.msi,Misc
.crdownload,Misc
.dem,Misc
.fnt,Misc
.fon,Misc
.gam,Misc
.gpx,Misc
.iso,Misc
.kml,Misc
.mdf,Misc
.mim,Misc
.nes,Misc
.plugin,Misc
.rom,Misc
.sav,Misc
.toast,Misc
.uue,Misc
.vcd,Misc
.idx,Misc
.epc,Misc
.map,Misc
.dbx,Misc
.dic,Misc
.hex,Misc
.qxp,Misc
.grp,Misc
.8bi,Misc
.cmf,Misc
.ori,Misc
.bfc,Misc
.gho,Misc
.mtb,Misc
.t65,Misc
.xll,Misc
.dao,Misc
.flt,Misc
.cff,Misc
.bbl,Misc
.bib,Misc
.bibtex,Misc
.enl,Misc
.ens,Misc
.enw,Misc
.marc,Misc
.mrc,Misc
.ris,Misc
.enc,Misc
.approj,Misc
.mime,Misc
.hht,Misc
.rc,Developer
.p,Developer
.d,Developer
.c,Developer
.class,Developer
.cpp,Developer
.cs,Developer
.dtd,Developer
.fla,Developer
.h,Developer
.java,Developer
.lua,Developer
.m,Developer
.pl,Developer
.py,Developer
.sh,Developer
.sln,Developer
.swift,Developer
.vcxproj,Developer
.xcodeproj,Developer
.asc,Developer
.bas,Developer
.asm,Developer
.cbl,Developer
.vbp,Developer
.iwb,Developer
.pb,Developer
.yml,Developer
.pika,Developer
.s19,Developer
.xt,Developer
.suo,Developer
.fsproj,Developer
.pbj,Developer
.pbxuser,Developer
.pyw,Developer
.xq,Developer
.cd,Developer
.sb,Developer
.sb2,Developer
.ise,Developer
.kv,Developer
.cod,Developer
.nib,Developer
.pwn,Developer
.b,Developer
.hpp,Developer
.apa,Developer
.bet,Developer
.bluej,Developer
.erb,Developer
.fxc,Developer
.m4,Developer
.owl,Developer
.sma,Developer
.trx,Developer
.vc,Developer
.def,Developer
.xap,Developer
.o,Developer
.pas,Developer
.qpr,Developer
.resources,Developer
.vbproj,Developer
.vbx,Developer
.xib,Developer
.md,Developer
.ccc,Developer
